,state,X_cor,Y_cor
0,jammu kashmir,-101.0,208.0
1,himachal pradesh,-79.0,158.0
2,panjab,-112.0,135.0
3,uttaranchal,-48.0,120.0
4,delhi,-94.0,103.0
5,rajasthan,-148.0,63.0
6,gujrat,-167.0,1.0
7,madhya pradesh,-63.0,2.0
8,uttar pradesh,-22.0,66.0
9,bihar,62.0,43.0
10,sikkim,101.0,80.0
11,jharkhand,41.0,4.0
12,west bangal,85.0,-2.0
13,orisa,21.0,-45.0
14,chattisgadh,-11.0,-34.0
15,maharashtra,-130.0,-69.0
16,andhra pradesh,-53.0,-117.0
17,goa,-135.0,-138.0
18,karnataka,-112.0,-154.0
19,tamilnadu,-57.0,-206.0
20,kerla,-99.0,-219.0
